sent,filtered,sorted
"[[""I'm"", 'looking', 'for', 'a', 'way', 'to', 'remove', 'sections', 'of', 'code', 'from', 'a', 'php', 'file', 'programmatically'], [""I'm"", 'writing', 'a', 'program', 'that', 'has', 'two', 'versions', 'but', 'I', ""don't"", 'want', 'to', 'maintain', 'two', 'completely', 'separate', 'code', 'bases', 'as', 'they', 'will', 'be', 'very', 'similar', 'So', 'I', 'was', 'hoping', 'I', 'could', 'write', 'one', 'set', 'of', 'code', 'and', 'remove', 'sections', 'that', ""aren't"", 'needed', 'programmatically', 'afterwards'], [""I've"", 'tried', 'searching', 'around', 'but', ""can't"", 'find', 'any', 'examples', 'of', 'how', 'to', 'go', 'about', 'processing', 'a', 'PHP', 'file', 'after', ""it's"", 'been', 'created'], ['Essentially', 'I', 'think', 'I', 'need', 'to', 'write', 'another', 'PHP', 'program', 'which', 'opens', 'my', 'file', 'looks', 'for', 'a', 'particular', 'if', 'statement', 'and', 'removes', 'the', 'if', 'statement', 'and', 'the', 'code', 'within', 'it'], ['Eg'], ['In', 'version', 'b', 'of', 'the', 'system', 'this', 'if', 'statement', 'would', 'remain', 'in', 'the', 'code'], ['In', 'version', 'a', 'of', 'the', 'system', 'this', 'if', 'statement', ""wouldn't"", 'be', 'in', 'there', 'at', 'all'], [""I've"", 'looked', 'into', 'using', 'combined', 'with', 'but', 'I', 'feel', 'like', 'this', 'is', 'too', 'simple', 'for', 'my', 'use', 'case', 'as', 'I', ""won't"", 'know', 'what', 'will', 'be', 'between', 'the', 'if', 'statement'], ['Can', 'anyone', 'point', 'me', 'in', 'the', 'right', 'direction', 'here', 'Thanks'], [], ['I', 'believe', ""you're"", 'overcomplicating', 'things'], ['From', 'what', 'you', 'wrote', 'it', 'seems', 'to', 'me', 'that', 'you', 'actually', 'need', 'a', 'version', 'control', 'system', 'And', 'the', 'best', 'one', 'so', 'far', 'is'], ['git'], ['When', 'you', 'will', 'enable', 'git', 'for', 'your', 'project', ""you'll"", 'be', 'able', 'to', 'use', 'branches', 'and', 'keep', 'as', 'many', 'modified', 'versions', 'of', 'your', 'project', 'as', 'needed', 'Then', 'when', 'needed', 'you', 'can', 'merge', 'two', 'brunches', 'into', 'one', 'and', 'keep', 'only', 'one', 'set', 'of', 'changes']]","[[(""I'm"", 'NNP'), ('way', 'NN'), ('sections', 'NNS'), ('code', 'NN'), ('php', 'NN'), ('file', 'NN')], [(""I'm"", 'NNP'), ('program', 'NN'), ('versions', 'NNS'), ('separate', 'JJ'), ('code', 'NN'), ('bases', 'NNS'), ('similar', 'JJ'), ('set', 'NN'), ('sections', 'NNS'), ('afterwards', 'NNS')], [(""I've"", 'NNP'), (""can't"", 'JJ'), ('examples', 'NNS'), ('PHP', 'NNP'), ('file', 'NN'), (""it's"", 'NN')], [('PHP', 'NNP'), ('program', 'NN'), ('file', 'NN'), ('particular', 'JJ'), ('statement', 'NN'), ('code', 'NN')], [('Eg', 'NN')], [('version', 'NN'), ('b', 'NN'), ('system', 'NN'), ('statement', 'NN'), ('code', 'NN')], [('version', 'NN'), ('system', 'NN'), ('statement', 'NN'), (""wouldn't"", 'NN')], [(""I've"", 'NNP'), ('simple', 'JJ'), ('use', 'NN'), ('case', 'NN'), ('statement', 'NN')], [('anyone', 'NN'), ('right', 'JJ'), ('direction', 'NN'), ('Thanks', 'NNS')], [], [('overcomplicating', 'JJ'), ('things', 'NNS')], [('version', 'NN'), ('control', 'NN'), ('system', 'NN'), ('best', 'JJS')], [('git', 'NN')], [('git', 'NNS'), ('project', 'NN'), ('able', 'JJ'), ('branches', 'NNS'), ('many', 'JJ'), ('versions', 'NNS'), ('brunches', 'NNS'), ('set', 'NN'), ('changes', 'NNS')]]","[2, 14, 1, 3, 4]"
"[['Is', 'there', 'any', 'open', 'source', 'java', 'library', 'which', 'can', 'parse', 'an', 'EDI', 'file', 'in', 'both'], ['ANSI', 'X'], ['and'], ['UN', 'EDIFACT'], ['standards', 'I', 'have', 'found'], ['smooks'], ['http', 'www', 'smooks', 'org', 'which', 'supports', 'UN', 'EDIFACT', 'standard', 'but', 'not', 'sure', 'whether', 'this', 'will', 'support', 'EDI', 'files', 'in', 'ANSI', 'X', 'standard'], ['Thanks', 'in', 'advance'], [], ['Smooks', 'team', 'publish', 'their', 'future', 'release', 'would', 'start', 'supporting', 'the', 'X', 'version', 'I', 'eagerly', 'waiting', 'here', 'too'], [], ['According', 'documentation'], ['EDIReader'], ['can', 'parse', 'both', 'ANSI', 'X', 'and', 'UN', 'EDIFACT'], [], ['I', 'have', 'successfully', 'used', 'X', 'Java', 'parser', 'Here', 'is', 'the', 'link'], ['http', 'code', 'google', 'com', 'p', 'x', 'parser', 'source', 'checkout'], [], ['You', 'may', 'wish', 'to', 'take', 'a', 'look', 'at'], ['StAEDI'], ['a', 'streaming', 'parser', 'generator', 'that', 'supports', 'X', 'and', 'EDIFACT', 'with', 'schema', 'validation', 'Disclaimer', 'I', 'am', 'the', 'author', 'of', 'the', 'library']]","[[('open', 'JJ'), ('source', 'NN'), ('java', 'NN'), ('library', 'NN'), ('EDI', 'NNP'), ('file', 'NN')], [('ANSI', 'NNP'), ('X', 'NN')], [], [('UN', 'NNP'), ('EDIFACT', 'NNP')], [('standards', 'NNS')], [('smooks', 'NNS')], [('http', 'NN'), ('www', 'NN'), ('smooks', 'NNS'), ('UN', 'NNP'), ('EDIFACT', 'NNP'), ('standard', 'NN'), ('sure', 'JJ'), ('EDI', 'NNP'), ('files', 'NNS'), ('ANSI', 'NNP'), ('X', 'NNP')], [('Thanks', 'NNS'), ('advance', 'NN')], [], [('Smooks', 'NNP'), ('team', 'NN'), ('future', 'NN'), ('release', 'NN'), ('X', 'NNP'), ('version', 'NN')], [], [('documentation', 'NN')], [('EDIReader', 'NN')], [('ANSI', 'NNP'), ('X', 'NNP'), ('UN', 'NNP'), ('EDIFACT', 'NNP')], [], [('X', 'NNP'), ('Java', 'NNP'), ('parser', 'NN'), ('link', 'NN')], [('http', 'NN'), ('code', 'NN'), ('google', 'NN'), ('com', 'NN'), ('p', 'NN'), ('x', 'NNP'), ('parser', 'NN'), ('source', 'NN'), ('checkout', 'NN')], [], [('look', 'NN')], [('StAEDI', 'NN')], [('parser', 'NN'), ('generator', 'NN'), ('X', 'NN'), ('EDIFACT', 'NNP'), ('schema', 'JJ'), ('validation', 'NN'), ('Disclaimer', 'NNP'), ('author', 'NN'), ('library', 'NN')]]","[7, 17, 21, 1, 10]"
"[['I', 'am', 'trying', 'to', 'make', 'a', 'typescript', 'react', 'fileinput', 'component', 'However', ""I'm"", 'getting', 'typescript', 'error', ""'Object"", 'is', 'possibly', ""null'"", 'I', 'have', 'googled', 'but', ""couldn't"", 'find', 'solution', 'for', 'this', 'problem', 'How', 'can', 'I', 'fix', 'this', 'problem', 'without', 'disabling', 'typescript', 'null', 'check'], [""I'm"", 'getting', 'errors', 'on', 'e', 'target', 'files'], ['Here', 'is', 'the', 'code', 'below']]","[[('typescript', 'NN'), ('react', 'NN'), ('component', 'JJ'), (""I'm"", 'NNP'), ('typescript', 'JJ'), ('error', 'NN'), (""'Object"", 'NN'), (""null'"", 'JJ'), (""couldn't"", 'JJ'), ('solution', 'NN'), ('problem', 'NN'), ('check', 'NN')], [(""I'm"", 'NNP'), ('errors', 'NNS'), ('e', 'NN'), ('target', 'NN'), ('files', 'NNS')], [('code', 'NN')]]","[1, 2, 3]"
"[['I', 'have', 'added', 'a', 'new', 'attribute', 'in', 'one', 'existing', 'type', 'my', 'attribute', 'is', 'available', 'in', 'model', 'class', 'and', 'also', 'in', 'jalo', 'classes', 'But', 'when', 'i', 'checked', 'in', 'HMC', 'it', 'is', 'not', 'showing', 'the', 'attribute', 'in', 'admin', 'tab', 'As', 'well', 'as', 'in', ""type's"", 'XML', 'configuration', 'does', 'not', 'have', 'that', 'attribute', 'in', 'HMC'], ['steps', 'done', 'by', 'me', 'added', 'my', 'attributes', 'in', 'items', 'xml', 'where', 'other', 'attributes', 'also', 'added', 'earlier', 'after', 'this', 'i', 'have', 'run', 'ant', 'clean', 'all', 'and', 'checked', 'the', 'model', 'class', 'and', 'attribute', 'is', 'there', 'in', 'model', 'class'], ['used', 'below', 'code', 'for', 'adding', 'my', 'attribute', 'in', 'items', 'xml'], [], ['You', 'need', 'to', 'update', 'your', 'type', 'system', 'in', 'the', 'database', 'That', 'means', 'you', 'need', 'to', 'do', 'an', 'UPDATE', 'in', 'the', 'admin', 'console'], ['The', 'generated', 'classes', 'are', 'only', 'templates', 'The', 'important', 'point', 'is', 'what', 'in', 'the', 'database', 'stands'], ['P', 'S', 'you', 'should', 'start', 'your', 'attributes', 'always', 'with', 'a', 'lower', 'case']]","[[('new', 'JJ'), ('attribute', 'NN'), ('type', 'NN'), ('available', 'JJ'), ('model', 'NN'), ('class', 'NN'), ('jalo', 'NN'), ('classes', 'NNS'), ('i', 'NN'), ('HMC', 'NNP'), ('admin', 'JJ'), ('tab', 'NN'), (""type's"", 'NN'), ('XML', 'NN'), ('configuration', 'NN')], [('steps', 'NNS'), ('attributes', 'NNS'), ('items', 'NNS'), ('other', 'JJ'), ('i', 'NN'), ('ant', 'JJ'), ('clean', 'NN'), ('model', 'NN'), ('class', 'NN'), ('attribute', 'NN')], [('code', 'NN'), ('attribute', 'NN'), ('items', 'NNS')], [], [('type', 'NN'), ('system', 'NN'), ('database', 'NN'), ('UPDATE', 'NN'), ('admin', 'NN'), ('console', 'NN')], [('generated', 'JJ'), ('classes', 'NNS'), ('important', 'JJ'), ('point', 'NN'), ('database', 'NN')], [('P', 'NNP'), ('S', 'NNP'), ('attributes', 'NNS'), ('lower', 'JJR'), ('case', 'NN')]]","[1, 2, 5, 6, 7]"
"[['I', 'need', 'a', 'navigation', 'menu', 'on', 'my', 'home', 'page', 'for', 'my', 'app', 'I', 'have', 'used', 'ListView', 'with', 'ExpansionTile', 'as', 'children', 'but', 'i', 'need', 'the', 'header', 'to', 'be', 'a', 'separate', 'button', 'and', 'only', 'the', 'downward', 'arrow', 'to', 'open', 'the', 'expansion', 'tile', 'How', 'do', 'i', 'achieve', 'this', 'Is', 'there', 'a', 'widget', 'here', 'i', 'am', 'missing'], ['I', 'did', 'use', 'ExpansionPanelList', 'and', 'ExpansionPanel', 'but', 'the', 'result', 'seems', 'to', 'ugly', 'with', 'borders', 'on', 'top', 'and', 'bottom', 'Is', 'there', 'a', 'custom', 'way', 'to', 'do', 'this'], ['I', 'also', 'tried', 'using', 'the', 'expansion', 'tile', 'as', 'a', 'trailing', 'element', 'for', 'list', 'tile', 'but', 'the', 'viewport', 'goes', 'out', 'of', 'bounds'], ['Code', 'for', 'expansion', 'tile', 'part'], ['Code', 'for', 'expansion', 'panel', 'part']]","[[('navigation', 'NN'), ('menu', 'NN'), ('home', 'NN'), ('page', 'NN'), ('app', 'NN'), ('ListView', 'NNP'), ('ExpansionTile', 'NNP'), ('children', 'NNS'), ('i', 'NNS'), ('header', 'NN'), ('separate', 'JJ'), ('button', 'NN'), ('downward', 'JJ'), ('arrow', 'NN'), ('expansion', 'NN'), ('tile', 'NN'), ('widget', 'NN')], [('ExpansionPanelList', 'NNP'), ('ExpansionPanel', 'NNP'), ('result', 'NN'), ('borders', 'NNS'), ('top', 'NN'), ('bottom', 'NN'), ('custom', 'NN'), ('way', 'NN')], [('expansion', 'NN'), ('tile', 'NN'), ('trailing', 'NN'), ('element', 'NN'), ('list', 'NN'), ('viewport', 'NN'), ('bounds', 'NNS')], [('Code', 'NNP'), ('expansion', 'NN'), ('tile', 'NN'), ('part', 'NN')], [('Code', 'NNP'), ('expansion', 'NN'), ('panel', 'NN'), ('part', 'NN')]]","[1, 2, 3, 4, 5]"
"[['i', 'want', 'to', 'add', 'a', 'collection', 'named', 'cats', 'in', 'the', 'mongoose', 'database', 'but', 'it', 'shows', 'this', 'UnhandledPromiseRejectionWarning'], ['here', 'is', 'the', 'code']]","[[('i', 'NN'), ('collection', 'NN'), ('cats', 'NNS'), ('mongoose', 'JJ'), ('database', 'NN'), ('UnhandledPromiseRejectionWarning', 'NN')], [('code', 'NN')]]","[1, 2]"
"[[""I'm"", 'trying', 'to', 'rewrite', 'some', 'urls', 'and', 'extract', 'their', 'parameter', 'values', 'via', 'path', 'names', 'via', 'one', 'regular', 'expression', 'The', 'url', 'can', 'have', 'multiple', 'variations', 'and', 's', 'term', 'pg', 'n', 'sort', 'order', 'and', 'so', 'on', 'can', 'be', 'in', 'any', 'order', 'Except', 'for', 'category', 'which', 'is', 'always', 'first', 'after', 'website', 'url'], ['Example'], ['www', 'test', 'com', 'freebies', 's', 'term', 'pg'], ['Extract', 'freebies', 'term'], ['So', 'then', 'i', 'can', 'rewrite', 'to', 'www', 'test', 'com', 'category', 's', 'page'], ['Example'], ['www', 'test', 'com', 'freebies', 'pg'], ['Extract', 'freebies', ""''""], ['So', 'then', 'i', 'can', 'rewrite', 'to', 'www', 'test', 'com', 'category', 's', 'page'], ['All', 'possible', 'combinations'], ['In', 'either', 'case', 'i', 'want', 'to', 'get', 'category', 'in', 'group', 'searchterm', 'in', 'group', 'paging', 'in', 'group', 'sort', 'order', 'in', 'group'], [""Here's"", 'what', 'I', 'tried', 'so', 'far', 'but', 'in', 'substitution', 'area', 'you', 'can', 'see', 'it', 'replaces', 'each', 'time', 'it', 'founds', 'a', 'match', 'and', 'i', 'want', 'to', 'replace', 'whole', 'url', 'with', 'a', 'new', 'one', 'and', 'include', 'the', 'groups', 'data'], ['https', 'regex', 'com', 'r', 'v', 'uf'], ['Do', 'you', 'think', ""it's"", 'possible', 'via', 'regex', 'or', 'htaccess', 'rewrite', 'would', 'be', 'a', 'better', 'plan'], ['Thanks']]","[[(""I'm"", 'NNP'), ('urls', 'NNS'), ('parameter', 'NN'), ('values', 'NNS'), ('path', 'NN'), ('names', 'NNS'), ('regular', 'JJ'), ('expression', 'NN'), ('url', 'NN'), ('multiple', 'JJ'), ('variations', 'NNS'), ('s', 'JJ'), ('term', 'NN'), ('pg', 'NN'), ('n', 'JJ'), ('sort', 'NN'), ('order', 'NN'), ('category', 'NN'), ('website', 'JJ')], [('Example', 'NN')], [('www', 'JJ'), ('test', 'NN'), ('com', 'NN'), ('freebies', 'NNS'), ('term', 'NN'), ('pg', 'NN')], [('Extract', 'JJ'), ('freebies', 'NNS'), ('term', 'NN')], [('test', 'NN'), ('com', 'NN'), ('category', 'NN'), ('s', 'NN'), ('page', 'NN')], [('Example', 'NN')], [('www', 'JJ'), ('test', 'NN'), ('com', 'NN'), ('freebies', 'NNS')], [('Extract', 'JJ'), ('freebies', 'NNS')], [('test', 'NN'), ('com', 'NN'), ('category', 'NN'), ('s', 'NN'), ('page', 'NN')], [('possible', 'JJ'), ('combinations', 'NNS')], [('case', 'NN'), ('i', 'NN'), ('category', 'NN'), ('group', 'NN'), ('searchterm', 'NN'), ('paging', 'NN'), ('sort', 'NN'), ('order', 'NN')], [(""Here's"", 'NNP'), ('substitution', 'JJ'), ('area', 'NN'), ('time', 'NN'), ('match', 'NN'), ('i', 'NN'), ('whole', 'JJ'), ('url', 'NN'), ('new', 'JJ'), ('groups', 'NNS'), ('data', 'NNS')], [('https', 'NN'), ('regex', 'NN'), ('com', 'NN'), ('r', 'NN'), ('v', 'NN'), ('uf', 'NN')], [(""it's"", 'JJ'), ('possible', 'JJ'), ('regex', 'NN'), ('htaccess', 'NN'), ('rewrite', 'NN'), ('better', 'JJR'), ('plan', 'NN')], [('Thanks', 'NNS')]]","[1, 12, 11, 14, 3]"
"[['Launching', ""'app'"", 'on', 'Pixel', 'API', 'adb', 'shell', 'am', 'start', 'n', 'com', 'study', 'quiz', 'com', 'study', 'quiz', 'MainActivity', 'a', 'android', 'intent', 'action', 'MAIN', 'c', 'android', 'intent', 'category', 'LAUNCHER', 'Connected', 'to', 'process', 'on', 'device', ""'Pixel"", 'API', 'emulator', ""'"", 'Capturing', 'and', 'displaying', 'logcat', 'messages', 'from', 'application', 'This', 'behavior', 'can', 'be', 'disabled', 'in', 'the', 'Logcat', 'output', 'section', 'of', 'the', 'Debugger', 'settings', 'page', 'D', 'HostConnection', 'get', 'New', 'Host', 'Connection', 'established', 'x', 'fe', 'fd', 'beb', 'tid', 'I', 'OpenGLRenderer', 'Initialized', 'EGL', 'version', 'D', 'EGL', 'emulation', 'eglCreateContext', 'x', 'fe', 'fd', 'e', 'maj', 'min', 'rcv', 'D', 'EGL', 'emulation', 'eglMakeCurrent', 'x', 'fe', 'fd', 'e', 'ver', 'tinfo', 'x', 'fe', 'fa', 'fe', 'E', 'eglCodecCommon', 'glUtilsParamSize', 'unknow', 'param', 'x', 'cdf', 'E', 'eglCodecCommon', 'glUtilsParamSize', 'unknow', 'param', 'x', 'D', 'OpenGLRenderer', 'Enabling', 'debug', 'mode', 'D', 'EGL', 'emulation', 'eglMakeCurrent', 'x', 'fe', 'fd', 'e', 'ver', 'tinfo', 'x', 'fe', 'fa', 'fe', 'D', 'EGL', 'emulation', 'eglMakeCurrent', 'x', 'fe', 'fd', 'e', 'ver', 'tinfo', 'x', 'fe', 'fa', 'fe', 'I', 'Choreographer', 'Skipped', 'frames', 'The', 'application', 'may', 'be', 'doing', 'too', 'much', 'work', 'on', 'its', 'main', 'thread', 'W', 'Glide', 'Failed', 'to', 'find', 'GeneratedAppGlideModule', 'You', 'should', 'include', 'an', 'annotationProcessor', 'compile', 'dependency', 'on', 'com', 'github', 'bumptech', 'glide', 'compiler', 'in', 'your', 'application', 'and', 'a', 'GlideModule', 'annotated', 'AppGlideModule', 'implementation', 'or', 'LibraryGlideModules', 'will', 'be', 'silently', 'ignored', 'D', 'EGL', 'emulation', 'eglMakeCurrent', 'x', 'fe', 'fd', 'e', 'ver', 'tinfo', 'x', 'fe', 'fa', 'fe', 'I', 'Choreographer', 'Skipped', 'frames', 'The', 'application', 'may', 'be', 'doing', 'too', 'much', 'work', 'on', 'its', 'main', 'thread', 'D', 'AndroidRuntime', 'Shutting', 'down', 'VM', 'E', 'AndroidRuntime', 'FATAL', 'EXCEPTION', 'main', 'Process', 'com', 'study', 'quiz', 'PID', 'java', 'lang', 'RuntimeException', 'Unable', 'to', 'start', 'activity', 'ComponentInfo', 'com', 'study', 'quiz', 'com', 'study', 'quiz', 'QuestionsActivity', 'java', 'lang', 'NullPointerException', ""Can't"", 'pass', 'null', 'for', 'argument', ""'pathString'"", 'in', 'child', 'at', 'android', 'app', 'ActivityThread', 'performLaunchActivity', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'handleLaunchActivity', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'access', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'H', 'handleMessage', 'ActivityThread', 'java', 'at', 'android', 'os', 'Handler', 'dispatchMessage', 'Handler', 'java', 'at', 'android', 'os', 'Looper', 'loop', 'Looper', 'java', 'at', 'android', 'app', 'ActivityThread', 'main', 'ActivityThread', 'java', 'at', 'java', 'lang', 'reflect', 'Method', 'invoke', 'Native', 'Method', 'at', 'java', 'lang', 'reflect', 'Method', 'invoke', 'Method', 'java', 'at', 'com', 'android', 'internal', 'os', 'ZygoteInit', 'MethodAndArgsCaller', 'run', 'ZygoteInit', 'java', 'at', 'com', 'android', 'internal', 'os', 'ZygoteInit', 'main', 'ZygoteInit', 'java', 'Caused', 'by', 'java', 'lang', 'NullPointerException', ""Can't"", 'pass', 'null', 'for', 'argument', ""'pathString'"", 'in', 'child', 'at', 'com', 'google', 'firebase', 'database', 'DatabaseReference', 'child', 'com', 'google', 'firebase', 'firebase', 'database', 'at', 'com', 'study', 'quiz', 'QuestionsActivity', 'onCreate', 'QuestionsActivity', 'java', 'at', 'android', 'app', 'Activity', 'performCreate', 'Activity', 'java', 'at', 'android', 'app', 'Instrumentation', 'callActivityOnCreate', 'Instrumentation', 'java', 'at', 'android', 'app', 'ActivityThread', 'performLaunchActivity', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'handleLaunchActivity', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'access', 'ActivityThread', 'java', 'at', 'android', 'app', 'ActivityThread', 'H', 'handleMessage', 'ActivityThread', 'java', 'at', 'android', 'os', 'Handler', 'dispatchMessage', 'Handler', 'java', 'at', 'android', 'os', 'Looper', 'loop', 'Looper', 'java', 'at', 'android', 'app', 'ActivityThread', 'main', 'ActivityThread', 'java', 'at', 'java', 'lang', 'reflect', 'Method', 'invoke', 'Native', 'Method', 'at', 'java', 'lang', 'reflect', 'Method', 'invoke', 'Method', 'java', 'at', 'com', 'android', 'internal', 'os', 'ZygoteInit', 'MethodAndArgsCaller', 'run', 'ZygoteInit', 'java', 'at', 'com', 'android', 'internal', 'os', 'ZygoteInit', 'main', 'ZygoteInit', 'java', 'I', 'Process', 'Sending', 'signal', 'PID', 'SIG']]","[[('Pixel', 'NNP'), ('API', 'NNP'), ('adb', 'NN'), ('shell', 'NN'), ('n', 'JJ'), ('com', 'NN'), ('study', 'NN'), ('quiz', 'NN'), ('MainActivity', 'NNP'), ('android', 'JJ'), ('intent', 'NN'), ('action', 'NN'), ('MAIN', 'NNP'), ('c', 'NN'), ('android', 'NN'), ('category', 'NN'), ('LAUNCHER', 'NNP'), ('Connected', 'NNP'), ('device', 'NN'), ('emulator', 'NN'), ('Capturing', 'NNP'), ('logcat', 'JJ'), ('messages', 'NNS'), ('application', 'NN'), ('behavior', 'NN'), ('Logcat', 'NNP'), ('output', 'NN'), ('section', 'NN'), ('Debugger', 'NNP'), ('settings', 'NNS'), ('page', 'NN'), ('D', 'NNP'), ('HostConnection', 'NNP'), ('New', 'NNP'), ('Host', 'NNP'), ('Connection', 'NNP'), ('x', 'NNP'), ('fe', 'NN'), ('fd', 'NN'), ('tid', 'NN'), ('EGL', 'NNP'), ('version', 'NN'), ('emulation', 'NN'), ('eglCreateContext', 'NN'), ('e', 'NN'), ('maj', 'NN'), ('min', 'NN'), ('rcv', 'NN'), ('eglMakeCurrent', 'NN'), ('tinfo', 'JJ'), ('fa', 'NN'), ('E', 'NNP'), ('unknow', 'JJ'), ('param', 'NN'), ('cdf', 'NN'), ('OpenGLRenderer', 'NNP'), ('Enabling', 'NNP'), ('debug', 'NN'), ('mode', 'NN'), ('Choreographer', 'NNP'), ('much', 'JJ'), ('work', 'NN'), ('main', 'JJ'), ('thread', 'JJ'), ('W', 'NNP'), ('Glide', 'NNP'), ('GeneratedAppGlideModule', 'NNP'), ('annotationProcessor', 'NN'), ('compile', 'NN'), ('dependency', 'NN'), ('github', 'NN'), ('bumptech', 'NN'), ('glide', 'NN'), ('compiler', 'NN'), ('GlideModule', 'NNP'), ('AppGlideModule', 'NNP'), ('implementation', 'NN'), ('LibraryGlideModules', 'NNP'), ('AndroidRuntime', 'NNP'), ('VM', 'NNP'), ('FATAL', 'NNP'), ('EXCEPTION', 'NNP'), ('Process', 'NNP'), ('PID', 'NNP'), ('java', 'NN'), ('lang', 'NN'), ('RuntimeException', 'NNP'), ('Unable', 'NNP'), ('activity', 'NN'), ('ComponentInfo', 'NNP'), ('QuestionsActivity', 'NNP'), ('NullPointerException', 'NNP'), (""Can't"", 'NNP'), ('pass', 'NN'), ('null', 'NN'), ('argument', 'NN'), ('child', 'NN'), ('app', 'NN'), ('ActivityThread', 'NNP'), ('performLaunchActivity', 'NN'), ('handleLaunchActivity', 'NN'), ('access', 'NN'), ('H', 'NNP'), ('handleMessage', 'NN'), ('os', 'NN'), ('Handler', 'NNP'), ('dispatchMessage', 'NN'), ('Looper', 'NNP'), ('Method', 'NNP'), ('Native', 'NNP'), ('java', 'NNP'), ('invoke', 'NN'), ('internal', 'JJ'), ('ZygoteInit', 'NNP'), ('MethodAndArgsCaller', 'NNP'), ('com', 'JJ'), ('google', 'NN'), ('firebase', 'NN'), ('database', 'NN'), ('DatabaseReference', 'NNP'), ('Activity', 'NNP'), ('performCreate', 'NN'), ('app', 'JJ'), ('Instrumentation', 'NNP'), ('callActivityOnCreate', 'NN'), ('signal', 'JJ'), ('SIG', 'NNP')]]",[1]
"[['Is', 'there', 'a', 'metric', 'in', 'YouTube', 'analytics', 'that', 'can', 'show', 'me', 'how', 'long', 'views', 'where', 'or', 'how', 'many', 'views', 'were', 'longer', 'than', 'a', 'certain', 'percentage', 'of', 'a', 'YouTube', 'video'], ['For', 'example', ""Let's"", 'say', 'I', 'want', 'to', 'find', 'out'], ['how', 'many', 'views', 'were', 'longer', 'than', 'of', 'a', 'particular', 'video'], ['Is', 'there', 'a', 'way', 'to', 'find', 'that', 'information', 'Or', 'maybe', 'is', 'there', 'a', 'list', 'that', 'tracks', 'how', 'long', 'each', 'view', 'was'], ['I', 'know', 'about', 'the'], ['Audience', 'Retention'], ['metric', 'but', 'that', ""doesn't"", 'really', 'help', 'me', 'get', 'this', 'information']]","[[('metric', 'JJ'), ('YouTube', 'NNP'), ('analytics', 'NNS'), ('long', 'JJ'), ('views', 'NNS'), ('many', 'JJ'), ('longer', 'JJR'), ('certain', 'JJ'), ('percentage', 'NN'), ('video', 'NN')], [('example', 'NN'), (""Let's"", 'NNP')], [('many', 'JJ'), ('views', 'NNS'), ('longer', 'JJR'), ('particular', 'JJ'), ('video', 'NN')], [('way', 'NN'), ('information', 'NN'), ('Or', 'NNP'), ('list', 'NN'), ('long', 'JJ'), ('view', 'NN')], [], [('Audience', 'NNP'), ('Retention', 'NNP')], [('metric', 'JJ'), ('information', 'NN')]]","[1, 4, 3, 2, 6]"
"[[""i'm"", 'making', 'a', 'Telegram', 'bot', 'using', 'php', 'language', 'i', 'want', 'to', 'add', 'a', 'cooldown', 'to', 'a', 'command', 'i', 'already', 'tried', 'with', 'sleep', 'but', 'the', 'result', 'still', 'the', 'same', 'it', ""doesn't"", 'work', 'someone', 'can', 'help', 'me', 'At', 'least', 'this', 'is', 'possible', 'or', 'i', 'need', 'to', 're', 'code', 'the', 'bot', 'in', 'another', 'language'], ['here', 'the', 'code'], [], ['I', 'will', 'comment', 'your', 'code', 'I', 'see', 'some', 'possible', 'errors', 'here']]","[[(""i'm"", 'NN'), ('Telegram', 'NNP'), ('bot', 'NN'), ('php', 'JJ'), ('language', 'NN'), ('i', 'NN'), ('cooldown', 'NN'), ('command', 'NN'), ('sleep', 'NN'), ('result', 'NN'), ('same', 'JJ'), ('work', 'NN'), ('someone', 'NN'), ('least', 'JJS'), ('possible', 'JJ'), ('i', 'JJ')], [('code', 'NN')], [], [('code', 'NN'), ('possible', 'JJ'), ('errors', 'NNS')]]","[1, 4, 2, 3]"
